"Scan Name (A):","Site: http://zero.webappsecurity.com/",
"Scan Date (A):","12/30/2019 3:57:58 PM",
"Scan ID (A):","d7d9efaa-1840-490f-bbea-c0ae032525e8",
"Scan Name (B):","Site: http://zero.webappsecurity.com/",
"Scan Date (B):","12/30/2019 3:47:31 PM",
"Scan ID (B):","ef02bcbe-9fe1-4cdb-b79b-5b357f07046c",

"Filtered By:","Comparison Type: Union; Grid Filter: ",


"Link","Path","Method","Vuln Parameter","Parameters","Stack Trace?","Application"
"A & B","http://zero.webappsecurity.com:80/faq.html","GET","question","(Query)question%3D1%253c%2573%2543%2572%2549%2570%2554%253e%2561%256c%2565%2572%2574%2528%2538%2535%2537%2536%2535%2529%253c%252f%2573%2543%2572%2549%2570%2554%253e","No",""
"A & B","http://zero.webappsecurity.com:80/search.html","GET","searchTerm","(Query)searchTerm%3D12345%253c%2573%2543%2572%253c%2553%2563%2552%2569%2550%2574%253e%2549%2570%2554%253e%2561%256c%2565%2572%2574%2528%2534%2537%2532%2537%2534%2529%253c%252f%2573%2543%2572%253c%2553%2563%2552%2569%2550%2574%253e%2549%2570%2554%253e","No",""
"A & B","http://zero.webappsecurity.com:80/sendFeedback.html","POST","name","(Post)name%3D%253c%2561%2520%2548%2572%2545%2566%253d%254a%2561%2556%2561%2553%2563%2552%2569%2550%2574%253a%2561%256c%2565%2572%2574%2528%2537%2531%2537%2532%2532%2529%253e%26email%3DJohn.Doe%2540somewhere.com%26subject%3D12345%26comment%3D12345%26submit%3DSend%2520Message","No",""
"A","http://zero.webappsecurity.com:80/account/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/admin/users.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/login.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/search.html","GET","searchTerm","(Query)searchTerm%3D%24%7B6228%252b1320%7D","No",""
"A & B","http://zero.webappsecurity.com:80/search.html","GET","searchTerm","(Query)searchTerm%3D%24%7Bcookie%255B%2522JSESSIONID%2522%255D%252Evalue%7D","No",""
"A & B","http://zero.webappsecurity.com:80/forgot-password.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/login.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/forgot-password.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/login.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/debug.txt","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/faq.html.bak","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/index.html.old","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/index.old","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/server-status","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/forgotten-password-send.html","POST","email","(Post)email%3DJohn.Doe%2540somewhere.com%253c%2569%2546%2572%2541%256d%2545%2520%2573%2552%2563%253d%2578%2553%2572%2546%2574%2545%2573%2554%252e%2573%2550%2569%253e%253c%252f%2569%2546%2572%2541%256d%2545%253e%26submit%3DSend%2520Password","No",""
"A","http://zero.webappsecurity.com:80/bank/money-map.html","GET","","","No",""
"B","http://zero.webappsecurity.com:80/sendFeedback.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/errors/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/admin/WS_FTP.LOG","GET","","","No",""
"A","http://zero.webappsecurity.com:80/include/common.inc","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/admin/index.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/bank/money-map.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/api/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/api/index.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/appdev/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/appdev/index.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/appdev/sample/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/appdev/sample/sample.war","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/architecture/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/architecture/index.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/valve.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/deployer-howto.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/elapi/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/elapi/index.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/funcspecs/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/funcspecs/index.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/jspapi/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/jspapi/index.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/servletapi/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/servletapi/index.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/tribes/introduction.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/websocketapi/","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/docs/websocketapi/index.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/errors/errors.log","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/faq.html","OPTIONS","","","No",""
"B","http://zero.webappsecurity.com:80/sendFeedback.html","OPTIONS","","","No",""
"A","http://zero.webappsecurity.com:80/admin/WS_FTP.LOG","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/appdev/processes.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/building.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/building.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/changelog.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/class-loader-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/cluster-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/context.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/host.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/listeners.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/resources.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/html-manager-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/jasper-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/logging.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/manager-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/monitoring.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/realm-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/security-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/security-manager-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/setup.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/ssl-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/virtual-hosting-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/windows-auth-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/windows-auth-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/windows-service-howto.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/admin/WS_FTP.LOG","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/filter.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/monitoring.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/errors/errors.log","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/config/listeners.html","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/realm-howto.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/<script>alert('TRACK');</script>","TRACK","","","No",""
"A","http://zero.webappsecurity.com:80/account/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/admin/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/admin/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/backup/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/bank/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/cgi-bin/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/db/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/error_log/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/errors/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/htbin/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/include/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/manager/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/scripts/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/stats/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/testing/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/user/","GET","","","No",""
"A","http://zero.webappsecurity.com:80/docs/ssi-howto.html","GET","","","No",""
"A & B","http://zero.webappsecurity.com:80/README.txt","GET","","","No",""
